推數,噓數,文章分數,文章作者,文章名稱,發表時間
4,14,-10,keyj (裝羊),,
0,0,0,arsonlolita (蘿莉塔大魔王),[公告] 八卦板板規(2021.05.11),Tue May 11 15:03:06 2021
6,1,5,wuyiulin (機掰客家人),[公告] 十一月置底閒聊 國父誕辰的十一月,Tue Nov  2 15:42:21 2021
10,1,9,wuyiulin (機掰客家人),[公告] 為了愛，你想繼續水桶下去。                      水桶,Wed Nov  3 14:53:25 2021
92,0,92,swingingbear (Bear~XD),[協尋] 10月29日 觀音大同一路車禍,Sat Oct 30 14:05:26 2021
5,0,5,knight45683 (今晚去吃烤肉),[問卦] 2021 MLB冠軍 亞特蘭大勇士,Wed Nov  3 11:34:15 2021
3,4,-1,aabbcc520 (U質文),[問卦] 30歲勃起半小時才射早上尿尿要用力正常,Wed Nov  3 11:13:36 2021
20,10,10,CrazyKill (crazykill),[問卦] 35歲以下，認為打羽球很娘？,Wed Nov  3 13:34:07 2021
11,4,7,"chungrew (work hard, play hard)",[問卦] 70歲的男人可以做愛嗎？,Wed Nov  3 15:36:03 2021
2,1,1,kopuck (派翠克星星),[問卦] 8+9武術大會 誰贏誰輸,Wed Nov  3 15:19:11 2021
10,7,3,anger312143 (anger),[問卦] BNT第二劑要打嗎？,Wed Nov  3 13:40:38 2021
5,0,5,kenness1019 (肯尼濕),[問卦] FB新聞影片爲什麼要一直重播？？,Wed Nov  3 14:57:24 2021
6,1,5,zxc445567 (飄飄),[問卦] FB靠北系列文章怎麼都消失了？,Wed Nov  3 13:01:01 2021
5,1,4,lolXD (國民情人),[問卦] gay7788？,Wed Nov  3 12:46:40 2021
40,2,38,ikoy (？？？？),[問卦] Google的社群g+為何贏不了FB和推特,Wed Nov  3 14:23:45 2021
27,8,19,Scathach (純愛の戰士),[問卦] i原卷是不是垃圾啊？,Wed Nov  3 12:07:19 2021
7,2,5,Moveaway (尻JJ頭殼),[問卦] Line 的社群有什麼用啊？,Wed Nov  3 13:34:22 2021
3,1,2,iamrw (iamrw),[問卦] LINE妹子朋友？,Wed Nov  3 12:28:31 2021
3,0,3,yamahabbs (老ㄟ),[問卦] tag朋友「商品好大」算性騷擾嗎,Wed Nov  3 15:20:14 2021
8,2,6,ClownT (克朗),[問卦] Twice的造型怎麼越來越怪了？,Wed Nov  3 11:58:34 2021
9,0,9,jeffguoft (見習生_O7),[問卦] win11的介面好像給小孩用的,Wed Nov  3 11:49:11 2021
26,10,16,a23718408 (Jonathan),[問卦] 「抱歉」是不禮貌的說法嗎？,Wed Nov  3 13:06:08 2021
7,2,5,LoveSports (　),[問卦] 一天用幾次牙線？,Wed Nov  3 14:10:24 2021
18,0,18,milkBK (blitzkrieg比較低),[問卦] 不google說出和台灣人名有關的東西,Wed Nov  3 14:41:01 2021
6,0,6,gary0215 (鮪魚),[問卦] 不能說彭于晏很帥嗎,Wed Nov  3 11:25:56 2021
2,2,0,Autumnleaf (楓葉),[問卦] 世界上最強的乞丐是誰？,Wed Nov  3 14:53:20 2021
5,1,4,s5869157 (肥皂泡的世界),[問卦] 中共中央政治局常委 敢罵習近平ㄇ,Wed Nov  3 12:23:35 2021
8,3,5,akanishiking (arnold jackson),[問卦] 中國人還會羨慕台灣人的護照嗎？,Wed Nov  3 12:57:49 2021
7,0,7,owo0204 (大大大優惠),[問卦] 中國女生為啥有些名字很男性化？,Wed Nov  3 13:12:33 2021
13,0,13,wvookevp (ushiromiya),[問卦] 中國開網站怎麼都愛用動物水果？,Wed Nov  3 14:31:21 2021
12,0,12,kohanchen (kohanchen),[問卦] 中國高官幹世界冠軍 小粉紅能幹啥？,Wed Nov  3 15:38:43 2021
7,2,5,STAV72 (刁民黨黨務主委),[問卦] 中華道統新解：炎黃註定父子相殘？,Wed Nov  3 11:37:25 2021
7,0,7,davidex (玉藻前我的),[問卦] 亞特蘭大勇士加油歌怎麼這麼耳熟？,Wed Nov  3 12:05:28 2021
4,0,4,DogBe105 (狗鼻強暴105),[問卦] 人力發電有搞頭嗎蛤,Wed Nov  3 15:58:46 2021
0,0,0,wan5389 (oniony),[問卦] 什麼事是只能做不能說或是只能說不能做？,Wed Nov  3 11:42:56 2021
8,2,6,Qorqios (唯一威脅是紫長直☁),[問卦] 什麼是ㄌㄌ上口？,Wed Nov  3 13:32:34 2021
7,1,6,ShenVen5566 (三代自耕農),[問卦] 什麼是民主開箱,Wed Nov  3 16:16:19 2021
2,0,2,SaintSeven (我喜歡妳),[問卦] 什麼樣ㄉ人最會抓著小辮子不放？,Wed Nov  3 15:39:19 2021
0,0,0,signm (sin),[問卦] 今晚十點會有多少課長貢獻給韓國天堂W？,Wed Nov  3 16:44:52 2021
3,1,2,phantasystar (phantasystar),[問卦] 他喜歡我？,Wed Nov  3 15:54:50 2021
2,2,0,xxxluke (我手裡拿著小皮鞭),[問卦] 來到信義區要怎麼跟窄裙正妹搭訕,Wed Nov  3 15:58:39 2021
5,1,4,say29217074 (:))))),[問卦] 健康便當為啥蛋都只有半顆,Wed Nov  3 12:14:02 2021
11,2,9,kuso2005 (一時想不到),[問卦] 出電梯遇到認識的複數同事怎打招呼,Wed Nov  3 15:37:34 2021
10,2,8,ErrethAkbe (unknown),[問卦] 剖腹產可以跟老公拿錢嗎,Wed Nov  3 15:26:14 2021
5,1,4,Kuru991 (城武),[問卦] 剛才說學姊很兇，被聽到了怎麼辦,Wed Nov  3 13:25:06 2021
8,2,6,william7713 (..),[問卦] 加碼券從去年到今年都沒中,Wed Nov  3 16:08:10 2021
0,0,0,nn760908 (阿搞搞搞搞),[問卦] 加碼券都沒中的進來！！,Wed Nov  3 16:50:27 2021
0,0,0,jej (賊一賊),[問卦] 包子在忙攘內 拜登在忙溝通 那...,Wed Nov  3 12:33:50 2021
9,4,5,sos976431 (淡江金城武),[問卦] 去叫路邊抽煙的8+9 戴口罩會怎樣,Wed Nov  3 12:07:02 2021
13,1,12,rosefan (Rocket Queen),[問卦] 反核能 但要低碳高效率發電？,Wed Nov  3 15:51:41 2021
4,3,1,zo6al (我書讀得少 你不要騙我),[問卦] 反萊豬會害我交不到女朋友嗎？,Wed Nov  3 13:37:05 2021
29,8,21,cimo764 (蘋果西打),[問卦] 台中人想要中捷這麼久 現在卻不搭？,Wed Nov  3 12:01:22 2021
2,1,1,zxc445567 (飄飄),[問卦] 台海戰爭時肥宅需要防彈衣嗎？,Wed Nov  3 12:51:24 2021
119,21,98,Rusnake5566 (魯蛇+56 PTT最強帳號),[問卦] 台灣人是不是罷免罷上癮,Wed Nov  3 12:23:42 2021
16,3,13,app325 (艾波),[問卦] 台灣人為什麼都不說敬語？,Wed Nov  3 13:11:35 2021
4,0,4,liang691206 (liang691206),[問卦] 台灣人為何這麼反萊豬啊,Wed Nov  3 14:29:44 2021
1,3,-2,w180112 ([NOOB]我超RETARD我超廢 ),[問卦] 台灣是不是以前的歌手比較厲害啊,Wed Nov  3 12:13:29 2021
4,0,4,oscarwu3041 (小羽毛),[問卦] 台灣會怎麼拍指定倖存者？,Wed Nov  3 16:25:34 2021
2,1,1,best004 (TRF-004),[問卦] 台灣的抗中保台跟二戰日本比起來如何,Wed Nov  3 12:51:57 2021
7,0,7,"aitt (非主流,有何不可(M))",[問卦] 台灣跟多明尼加比籃球勝算遠比棒球低八卦,Wed Nov  3 12:34:07 2021
4,1,3,ikoy (？？？？),[問卦] 台男肥宅在哪國夜店容易把到妹,Wed Nov  3 12:04:11 2021
10,3,7,PPPa (3P),[問卦] 各位台男都先買房再買車嗎？,Wed Nov  3 16:40:24 2021
16,2,14,pzhao (睡覺青年),[問卦] 各位在路上看到8+9車禍會幫忙嗎,Wed Nov  3 15:20:54 2021
11,5,6,amgine22222 (Yin Cheng),[問卦] 各位是飯派還是麵派？,Wed Nov  3 14:26:56 2021
11,0,11,Surlyn (  ),[問卦] 含魚的自助餐95算划算嗎？,Wed Nov  3 12:18:38 2021
11,2,9,herex (魔導戰士破壞者),[問卦] 呂布如果好好待在曹營是不是穩了,Wed Nov  3 11:43:27 2021
